"deal_id","target_name","target_cik","cik_match_method"
"1996847020","Barr Pharmaceuticals Inc","0000010081","cleaned"
"2916384020","Barracuda Networks Inc","0001348334","cleaned"
"1989419020","Barrier Therapeutics Inc","0001173657","cleaned"
"1868140020","Bausch & Lomb Inc","0000010427","cleaned"
"2787906020","Baxalta Inc","0001620546","cleaned"
"3624032020","Bay Banks of Virginia Inc","0001034594","cleaned"
"2798762020","Baylake Corp","0000275119","cleaned"
"3182565020","Bazaarvoice Inc","0001330421","cleaned"
"3140981020","Bear State Financial Inc","0001006424","cleaned"
"2248553020","Beckman Coulter Inc","0000840467","cleaned"
"2740142020","Belk Inc","0001051771","cleaned"
"2169153020","Bell Microproducts Inc","0000900708","cleaned"
"1739992020","BellSouth Corp","0000732713","cleaned"
"2529718020","Belo Corp","0000356080","cleaned"
"3147860020","Bemis Co Inc","0000011199","cleaned"
"3275056020","Beneficial Bancorp Inc","0001615418","cleaned"
"2417517020","Benihana Inc","0000935226","cleaned"
"1965141020","Bentley Pharmaceuticals Inc","0000821616","cleaned"
"2498334020","Berry Petroleum Co","0000778438","cleaned"
"1791316020","Bio-Lok International Inc","0000840573","cleaned"
"2759062020","Bio-Reference Laboratories Inc","0000792641","cleaned"
"2491644020","BioClinica Inc","0000822418","cleaned"
"2143345020","BioForm Medical Inc","0001282393","cleaned"
"2803929020","BioMed Realty Trust Inc","0001289236","cleaned"
"2469126020","BioMimetic Therapeutics Inc","0001138400","cleaned"
"3649600020","BioSpecifics Technologies Corp","0000875622","cleaned"
"3675217020","BioTelemetry Inc","0001574774","cleaned"
"1856202020","BioVeris Corp","0001264899","cleaned"
"3874146020","Biodelivery Sciences International Inc","0001103021","cleaned"
"1871767020","Bioenvision Inc","0001028205","cleaned"
"3917838020","Biohaven Pharmaceutical Holding Co Ltd","0001689813","cleaned"
"1822606020","Biomet Inc","0000351346","cleaned"
"2183255020","Biosphere Medical Inc","0000919015","cleaned"
"2237463020","Biotel Inc","0001300128","cleaned"
"3204492020","Bioverativ Inc","0001681689","cleaned"
"3295959020","Birner Dental Management Services Inc","0000948072","cleaned"
"3308489020","Black Box Corp","0000849547","cleaned"
"2325147020","Blackboard Inc","0001106942","cleaned"
"2429842020","Blackwater Midstream Corp","0001292518","cleaned"
"1832782020","Blair Corp","0000071525","cleaned"
"2838591020","Blount International Inc","0001001606","cleaned"
"3216076020","Blue Buffalo Pet Products Inc","0001609989","cleaned"
"2369899020","Blue Coat Systems Inc","0001095600","cleaned"
"3290748020","Blue Hills Bancorp Inc","0001601545","cleaned"
"3032703020","Blue Nile Inc","0001091171","cleaned"
"3336279020","Blue Valley Ban Corp","0000901842","cleaned"
"3849250020","Bluerock Residential Growth REIT Inc","0001442626","cleaned"
"2796288020","Blyth Inc","0000921503","cleaned"
"3152425020","Bob Evans Farms Inc","0000033769","cleaned"
"3518230020","Boingo Wireless Inc","0001169988","cleaned"
"1973840020","Bois d'Arc Energy Inc","0001304069","cleaned"
"2566741020","Boise Inc","0001391390","cleaned"
"3306571020","Bojangles' Inc","0001630132","cleaned"
"2671080020","Bolt Technology Corp","0000354655","cleaned"
"2172926020","Boots & Coots Inc","0000833845","cleaned"
"2749522020","Borderfree Inc","0001277141","cleaned"
"2070997020","Borland Software Corp","0000853273","cleaned"
"1887158020","Boston Communications Group Inc","0001012887","cleaned"
"2823116020","Boulder Brands Inc","0001331301","cleaned"
"3747221020","Bowl America Inc","0000013573","cleaned"
"2158432020","Bowne & Co Inc","0000013610","cleaned"
"1761895020","Boykin Lodging Co","0001015859","cleaned"
"1919616020","Bradley Pharmaceuticals Inc","0000864268","cleaned"
"3221611020","Bravo Brio Restaurant Group Inc","0001495479","cleaned"
"2183099020","Brazauro Resources Corp","0000908177","cleaned"
"2821702020","Breeze-Eastern Corp","0000099359","cleaned"
"2731199020","Bridge Capital Holdings","0001304740","cleaned"
"1754720020","Bridge Street Financial Inc","0001182555","cleaned"
"2353980020","Brigham Exploration Co","0001034755","cleaned"
"2461706020","Bright Mountain Holdings Inc","0001473490","cleaned"
"2147628020","Brink's Home Security Holdings Inc","0001436040","cleaned"
"1844640020","Bristol West Holdings Inc","0001272957","cleaned"
"2581554020","Britton & Koontz Capital Corp","0000707604","cleaned"
"2756356020","Broadcom Corp","0001054374","cleaned"
"1802401020","Broadwing Corp","0001060490","cleaned"
"3030905020","Brocade Communications Systems Inc","0001009626","cleaned"
"3708858020","Bryn Mawr Bank Corp","0000802681","cleaned"
"2515874020","Buckeye Technologies Inc","0000899597","cleaned"
"2239300020","Bucyrus International Inc","0000740761","cleaned"
"3175586020","Buffalo Wild Wings Inc","0001062449","cleaned"
"2386688020","Bullion Monarch Mining Inc","0000015288","cleaned"
"2216007020","Burger King Holdings Inc","0001352801","cleaned"
"1728587020","Burlington Coat Factory Warehouse Corp","0000718916","cleaned"
"2124025020","Burlington Northern Santa Fe LLC","0000934612","cleaned"
"1905954020","Business Objects SA","0000928753","cleaned"
"2169141020","Bway Holding Co","0001392179","cleaned"
"1907922020","C-COR Inc","0000350621","cleaned"
"2818584020","C1 Financial Inc","0001609132","cleaned"
"3266289020","CA Inc","0000356028","cleaned"
"3757647020","CAI International Inc","0001388430","cleaned"
"1985447020","CAM Commerce Solutions Inc","0000819334","cleaned"
"1802343020","CBOT Holdings Inc","0001161448","cleaned"
"3094821020","CBT Financial Corp","0001652275","cleaned"
"1774498020","CD & L Inc","0001000779","cleaned"
"3133084020","CDI Corp","0000018396","cleaned"
"3899664020","CDK Global Inc","0001609702","cleaned"
"3057489020","CEB Inc","0001066104","cleaned"
"2602262020","CEC Entertainment Inc","0000813920","cleaned"
"1769956020","CFC International Inc","0000949859","cleaned"
"2521034020","CFS Bancorp Inc","0001058438","cleaned"
"2389952020","CH Energy Group Inc","0001061393","cleaned"
"2996811020","CIFC Corp","0001313918","cleaned"
"1864600020","CIMNET Inc","0001063832","cleaned"
"2172033020","CKE Restaurants Inc","0000919628","cleaned"
"2307767020","CKx Inc","0000793044","cleaned"
"2678949020","CMS Bancorp Inc","0001350072","cleaned"
"2073218020","CNB Financial Corp","0001345622","cleaned"
"1978079020","CNET Networks Inc","0001015577","cleaned"
"1800170020","CNS Inc","0000862846","cleaned"
"2235646020","COMFORCE Corp","0000006814","cleaned"
"2152401020","COMSYS IT Partners Inc","0000948850","cleaned"
"1825116020","CPAC Inc","0000351717","cleaned"
"2256329020","CPEX Pharmaceuticals Inc","0001418919","cleaned"
"1948905020","CSK Auto Inc","0001017450","cleaned"
"3212274020","CSRA Inc","0001646383","cleaned"
"3505281020","CSS Industries Inc","0000020629","cleaned"
"2969654020","CST Brands Inc","0001562039","cleaned"
"2813054020","CTI Group(Holdings)Inc","0000355627","cleaned"
"2056951020","CV Therapeutics Inc","0000921506","cleaned"
"2389397020","CVR Energy Inc","0001376139","cleaned"
"2460586020","CYBEX International Inc","0000060876","cleaned"
"3239608020","CYS Investments Inc","0001396446","cleaned"
"2954450020","Cabelas Inc","0001267130","cleaned"
"2801523020","Cablevision Systems Corp","0000784681","cleaned"
"2227697020","Cadence Financial Corp","0000742054","cleaned"
"2608844020","Cadence Pharmaceuticals Inc","0001333248","cleaned"
"2708859020","Caesars Acquisition Co","0001575879","cleaned"
"3365110020","Caesars Entertainment Corp","0000858339","cleaned"
"3294104020","CafePress Inc","0001117733","cleaned"
"3169961020","CalAtlantic Group Inc","0000878560","cleaned"
"3153654020","Calgon Carbon Corp","0000812701","cleaned"
"2137467020","California Micro Devices Corp","0000800460","cleaned"
"2952956020","California Republic Bancorp","0001567861","cleaned"
"2343194020","Caliper Life Sciences Inc","0001014672","cleaned"
"3207542020","Callidus Software Inc","0001035748","cleaned"
"2079595020","Callwave Inc","0001115091","cleaned"
"3103254020","Calpine Corp","0000916457","cleaned"
"3468746020","Calwest Bancorp","0001257580","cleaned"
"3298889020","Cambium Learning Group Inc","0001466815","cleaned"
"3438953020","Cambrex Corp","0000820081","cleaned"
"2574894020","Camco Financial Corp","0000016614","cleaned"
"2794567020","Cameron International Corp","0000941548","cleaned"
"2812080020","Campus Crest Communities Inc","0001490983","cleaned"
"3685801020","Cantel Medical Corp","0000019446","cleaned"
"1925431020","Canyon Resources Corp","0000739460","cleaned"
"2525192020","CapLease Inc","0001057689","cleaned"
"2881758020","Cape Bancorp Inc","0001411303","cleaned"
"3169578020","Capella Education Co","0001104349","cleaned"
"3099495020","Capital Bank Financial Corp","0001479750","cleaned"
"2226305020","Capital Gold Corp","0000726845","cleaned"
"2697953020","Capital Pacific Bancorp","0001431054","cleaned"
"2256982020","CapitalSource Inc","0001241199","cleaned"
"3776809020","Capstead Mortgage Corp","0000766701","cleaned"
"2009506020","Captaris Inc","0000931784","cleaned"
"3961280020","CarLotz Inc","0001517739","cleaned"
"3444324020","Carbon Black Inc","0001366527","cleaned"
