term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,n_obs
fl_sentence_share_z,2.2704999799225076,0.7908288538131039,2.8710383656020393,0.004940888494291029,0.7026048598274988,3.8383951000175163,P5_fl_sentence_share_z,3102
ln_deal_value,1.050522523145324,0.6717682471440268,1.5638168782337405,0.12084123169891839,-0.2813233641834336,2.3823684104740814,P5_fl_sentence_share_z,3102
tender,8.170951918085287,3.9144732931933093,2.0873694380016246,0.0392522531775704,0.41012788574605086,15.931775950424523,P5_fl_sentence_share_z,3102
percentage_of_cash,0.035936661605386645,0.02191130886033508,1.6400965288952203,0.10394947743342438,-0.007504639342811828,0.07937796255358512,P5_fl_sentence_share_z,3102
risk_transparency_z,0.4174401022408011,1.6236204210277518,0.25710449119416806,0.7975965183285179,-2.8015452986353684,3.6364255031169708,P5_risk_transparency_z,3102
ln_deal_value,1.1117213039119465,0.692530741990109,1.6053024602448978,0.11140250121392616,-0.26128824884607393,2.484730856669967,P5_risk_transparency_z,3102
tender,8.404249973800688,3.87952668230333,2.1663080736464906,0.03252812275607709,0.7127109965199097,16.095788951081467,P5_risk_transparency_z,3102
percentage_of_cash,0.03805934937191443,0.020109123388689722,1.8926408991712051,0.06113355355088547,-0.0018089435950063917,0.07792764233883526,P5_risk_transparency_z,3102
tone_lm_z,2.119148308331278,1.5464453990966727,1.370335033858382,0.17347752794709503,-0.9468301053876416,5.185126722050198,P5_tone_lm_z,3102
ln_deal_value,0.9387806952899611,0.6584937195121564,1.4256486697936233,0.1569079815825342,-0.36674714990461954,2.2443085404845418,P5_tone_lm_z,3102
tender,7.928694596335045,3.581858861451845,2.213569797979501,0.029000915238733434,0.8273110255901246,15.030078167079964,P5_tone_lm_z,3102
percentage_of_cash,0.03352796531528821,0.021738079241513237,1.5423609851996405,0.12596608061384154,-0.0095698910649773955,0.07662582169555382,P5_tone_lm_z,3102
